complex_d	gvkey	fyear	complexity_index_ASC	lnaudit_fees_w	lnfilinglength	delay_w	fog_w	ln_num_words	mkvalt	size	roa_w	numest_next_w	held_pct
1	119217	2000	1		13.15773	81	18.95858304	10.82646	1201.8561	6.252848	0.190311652	11	0.817844875
1	62784	2006	3	13.60854	13.49567	60	18.50389934	11.01974	3459.0278	7.920015	-0.015972385	12	0.931788277
1	65921	2003	2	11.48658	12.36845	69	20.24361615	10.00555	770.6875	4.987101	-0.041252875	1	
3	8850	2006	6	14.14769	13.2604	68	23.66666667	5.278115	219.0668	5.878805	0.03264574	1	0.491471379
3	6994	2006	5	14.40152	13.86736	60	21.11065898	11.42381	3691.9105	7.705037	0.07488173	8	0.407596936
3	11842	2008	6	13.60935	13.95639	57	20.75260167	11.24557	2681.4888	10.09378	0.006963109	8	0.563466609
1	10917	2004	1	11.95118	12.25871	89	8.377553311	0	142.4155	4.63633	0.079503708	0	
1	63054	2006	3	13.46737	12.75061	68	19.0767161	9.894195	497.0371	5.373731	0.077949236	7	0.427919554
1	9289	2010	1	13.80079	13.30946	90	20.81638758	10.9409	184.3808	5.490985	0.142979678	5	
2	1998	2001	2	15.29417	13.98306	63	22.09402453	10.64692	45570.0223	11.64293	0.009808369	23	0.569312549
3	134932	2006	6	15.2265	13.35379	54	19.77806964	10.49097	2167.6619	7.255944	0.192093187	16	0.769024083
3	30298	2004	4	15.77116	14.25699	235	24.05992834	11.57784	1490.6201	8.083223	0.012833762	0	0.757346789
2	123017	2006	4	12.91854	13.79151	75	24.59802252	10.09374	180.325	5.078587	0.035734084	9	
3	1468	2008	6	14.45847	13.83923	60	23.88137718	11.05487	151.2217	7.268075	-0.158851239	2	1.043765854
