complex_d	gvkey	fyear	complexity_index_ASC	lnaudit_fees_w	lnfilinglength	delay_w	fog_w	ln_num_words	mkvalt	size	roa_w	numest_next_w	held_pct
1	121673	2008	3	12.7994	12.6651	72	19.8001563	9.208138	169.4889	4.53537	0.108987969	3	0.772283599
3	6932	2002	2	12.13458	13.34083	85	18.22038179	10.45898	470.5003	6.443964	0.046419514	0	0.233317535
1	26050	2003	2		12.75735	89	20.4405993	10.11399	120.5977	5.173638	0.070663132	0	
3	28378	2004	3	14.4782	13.50317	90	17.98430994	10.61002	1125.3762	6.750668	0.023730765	0	0.968797449
1	112254	2005	1	11.67844	13.61895	75	19.43619172	8.703009	93.5007	6.739721	0.006958271	0	0.037900162
1	137572	2001	1	13.7201	13.17968	91	20.86486387	10.74052	270.8385	6.773893	-0.422795643	0	0.000465806
2	157415	2008	5	16.27817	13.18489	51	20.69235013	10.36309	364.2228	9.134754	-0.084016393	6	0.959217342
1	12484	2000	1	14.09238	13.12663	92	19.3427338	10.62116	7899.864	9.975784	-0.025468895	2	0.333546004
1	62472	2002	0	10.66429	12.52927	77	18.20296963	10.00034	88.4274	6.496604	0.011579651	0	0.037427922
2	127455	2003	3	13.47724	13.54083	75	20.78613865	11.02798	189.0241	5.124178	-0.294740413	3	
1	17074	2000	1	13.20302	12.33035	92	20.59996515	9.554072	112.0114	6.421582	0.011434611	2	0.339282387
1	141198	2007	3	11.08768	13.02021	77	20.25313729	10.531	134.1202	3.683314	-0.324752376	1	
2	108449	2007	4	13.14949	13.28745	73	19.57525874	10.55328	215.2608	8.176522	-0.002690876	2	0.430400659
1	27938	2006	3	13.01165	12.17119	74	19.32465711	8.074026	431.6466	5.740314	0.076371794	9	0.729284948
1	4645	2007	3	15.00792	12.97792	119	21.1877109	10.20913	419.2418	6.288814	0.056819321	3	0.416656388
