Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_
Intercept,1,1.7645,0.1447,148.7390,<.0001,MLE
ret,1,-0.5986,0.0587,104.0620,<.0001,MLE
beta,1,0.6612,0.0386,293.8151,<.0001,MLE
size,1,-0.4893,0.0171,819.5298,<.0001,MLE
btm,1,-0.0856,0.0472,3.2866,0.0698,MLE
d2004,0,0,,,,MLE
d2005,0,0,,,,MLE
d2006,0,0,,,,MLE
d2007,0,0,,,,MLE
d2008,0,0,,,,MLE
d2009,0,0,,,,MLE
d2010,0,0,,,,MLE
d2011,0,0,,,,MLE
d2012,1,-0.3385,0.0599,31.9559,<.0001,MLE
d2013,0,0,,,,MLE
ff12_1,1,-0.5860,0.1698,11.9054,0.0006,MLE
ff12_2,1,-0.4266,0.1942,4.8229,0.0281,MLE
ff12_3,1,-0.6526,0.1215,28.8649,<.0001,MLE
ff12_4,1,0.2154,0.1394,2.3860,0.1224,MLE
ff12_5,1,-0.9411,0.2481,14.3859,0.0001,MLE
ff12_6,1,0.1780,0.0933,3.6438,0.0563,MLE
ff12_7,1,0.0673,0.1795,0.1405,0.7078,MLE
ff12_8,1,-0.1392,0.2369,0.3455,0.5567,MLE
ff12_9,1,-0.5305,0.1275,17.3238,<.0001,MLE
ff12_10,1,1.2345,0.1090,128.2302,<.0001,MLE
ff12_11,1,-1.0581,0.1026,106.3619,<.0001,MLE
ff12_12,0,0,,,,MLE
